Treat,Sample_type,Layer,Spot,Sample,Replicat,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
Sp,Soil_Sp,0_10,1211,1211_0_10,0,1527,1749.702,263.531,268.167,114.382,16.998,85.505,0.267,115.918,1741,322,79.563,23.078,6.729,0.149,0.696
Sp,Soil_Sp,0_10,1211,1211_0_10,0,671,2021.004,488.117,104.669,35.516,24.055,16.055,0.77,37.736,2004,498,32.005,24,1.476,0.677,0.939
Sp,Soil_Sp,0_10,1211,1211_0_10,0,287,1904.009,653.646,63.698,23.988,15.233,5.703,0.889,24.352,1893,658,19.179,15,1.575,0.635,0.949
Sp,Soil_Sp,0_10,1211,1211_0_10,0,642,464.919,694.492,99.74,32.106,25.46,32.477,0.811,33.615,451,705,22.751,26.582,1.261,0.793,0.917
Sp,Soil_Sp,0_10,1211,1211_0_10,0,385,2077.845,831.121,77.941,28.716,17.07,14.928,0.796,29.53,2065,838,28.301,17.692,1.682,0.594,0.911
Sp,Soil_Sp,0_10,1211,1211_0_10,0,240,1440.242,857.108,61.113,21.079,14.497,158.906,0.808,22.472,1430,852,147.724,15.125,1.454,0.688,0.906
Sp,Soil_Sp,0_10,1211,1211_0_10,0,23157,717.111,1104.321,828.85,229.034,128.734,80.802,0.424,255.566,729,1240,86.186,147.756,1.779,0.562,0.828
Sp,Soil_Sp,0_10,1211,1211_0_10,0,637,1777.869,1050.232,99.255,32.833,24.702,82.884,0.813,34.205,1768,1035,105.255,25,1.329,0.752,0.943
Sp,Soil_Sp,0_10,1211,1211_0_10,0,2307,490.151,1078.064,304.51,143.466,20.474,170.41,0.313,134.807,422,1070,170.608,23.876,7.007,0.143,0.819
Sp,Soil_Sp,0_10,1211,1211_0_10,0,7455,605.558,1352.863,917.009,198.88,47.727,150.588,0.111,356.545,409,1298,158.616,91.522,4.167,0.24,0.348
Sp,Soil_Sp,0_10,1211,1211_0_10,0,535,216.678,1315.601,92.569,34.404,19.8,148.363,0.785,35,203,1304,143.13,22.232,1.738,0.576,0.914
Sp,Soil_Sp,0_10,1211,1211_0_10,0,592,794.382,1395.583,122.024,52.456,14.369,41.746,0.5,51.225,775,1412,38.66,16.921,3.651,0.274,0.815
Sp,Soil_Sp,0_10,1211,1211_0_10,0,9,805.167,1413.833,11.314,4.684,2.446,45,0.884,5,803,1415,36.87,2.828,1.915,0.522,0.783
Sp,Soil_Sp,0_10,1211,1211_0_10,0,8,795,1423,22.627,10.714,0.951,45,0.196,11.314,791,1427,45,1.414,11.269,0.089,0.533
